DAYWEEK,DAYMONTH,DAYYEAR,CANTIDAD_TOTAL
3,13,317,140
5,7,341,17
2,25,359,8
4,10,222,6
7,2,183,4
3,26,,150
5,18,,161
7,4,35,7
1,28,240,2
7,,,8550
7,29,,437
5,30,89,4
2,15,15,10
5,22,326,173
6,27,208,42
6,4,95,159
5,11,131,4
3,2,122,5
4,23,205,69
4,4,,230
7,21,173,219
6,29,60,140
4,18,199,21
1,8,281,7
3,21,80,4
2,14,196,73
6,29,,173
7,4,63,8
5,2,,123
4,21,264,8
3,13,,348
5,9,,148
3,11,192,12
4,2,214,8
7,20,293,133
7,3,246,4
2,5,126,207
6,15,196,4
1,8,160,180
4,27,208,8
5,18,230,6
6,9,252,7
7,9,190,6
1,2,183,3
1,24,205,3
5,11,284,121
2,12,255,2
5,30,334,9
1,18,261,5
3,23,296,144
4,14,318,152
2,18,199,2
3,9,221,4
6,5,278,152
6,27,300,3
7,18,322,7
2,20,51,5
6,9,68,5
6,31,90,4
7,22,112,4
1,24,,196
4,6,187,4
6,7,,564
2,14,226,10
3,5,248,4
3,27,270,10
6,23,327,121
4,22,81,6
5,13,103,4
4,18,,214
3,25,115,8
7,12,194,61
1,8,8,8
1,17,,226
3,17,17,8
4,8,39,4
2,16,197,40
3,29,241,6
3,4,94,7
5,31,151,17
5,3,185,77
5,14,257,10
7,12,,367
1,16,259,111
7,5,217,7
1,3,,227
6,11,223,5
6,3,307,6
4,18,291,7
1,6,6,151
3,21,325,7
5,,,8949
1,14,287,143
2,27,331,14
1,25,359,7
2,22,22,10
5,5,157,193
2,22,,186
1,26,57,12
3,27,86,4
2,8,,211
2,18,352,10
7,11,42,12
4,30,212,61
1,20,232,12
5,24,,470
6,7,97,9
1,18,77,15
4,25,206,39
6,7,250,138
2,21,203,52
3,27,,336
3,25,298,1
5,2,33,6
2,31,304,2
4,6,37,164
5,27,361,134
1,12,316,6
2,18,49,197
3,14,,145
1,18,,351
1,24,55,160
7,19,19,131
6,8,,204
6,30,,348
3,22,142,12
4,13,164,10
3,12,346,17
6,19,19,5
6,4,124,9
6,26,146,6
1,3,154,9
1,25,176,5
4,17,137,9
7,29,272,87
7,9,343,7
5,3,,490
4,19,,523
2,3,276,4
5,21,355,3
6,17,48,4
3,18,352,186
6,25,25,127
3,31,212,49
1,27,209,65
2,10,70,162
3,1,92,170
7,1,244,84
1,22,203,45
7,17,48,12
2,10,253,121
6,22,173,6
1,16,106,7
4,4,185,58
4,23,235,5
5,25,,141
6,30,273,10
,,,60398
3,17,169,222
3,28,,149
2,28,28,183
5,9,313,4
6,15,46,162
1,28,28,5
3,2,275,157
1,3,337,16
2,9,,261
3,12,163,11
7,24,83,5
2,28,119,209
5,25,145,9
2,4,155,9
7,29,89,136
5,15,74,5
2,23,,211
2,1,1,8
3,11,71,158
4,20,,272
6,28,271,123
2,29,302,117
7,1,61,171
5,20,80,163
3,16,136,11
3,4,277,2
4,10,10,11
4,19,262,173
7,11,223,99
3,6,65,6
6,18,200,72
7,13,,148
1,4,,375
1,7,127,5
5,26,178,189
7,22,295,4
2,21,325,6
5,13,286,6
4,9,191,56
6,13,194,44
1,2,62,133
7,9,252,9
2,6,,134
3,8,190,116
5,2,214,106
5,24,236,11
2,20,232,101
3,11,254,87
5,5,278,3
6,9,,357
4,8,312,7
4,30,334,6
6,2,336,8
6,18,138,2
2,3,93,9
3,27,148,148
4,18,170,169
5,21,172,16
2,1,274,129
2,23,296,7
2,4,338,3
3,23,23,14
5,22,,361
1,26,330,6
3,20,354,9
6,9,130,198
1,10,41,169
1,19,,163
6,28,88,151
7,19,110,218
2,26,57,7
1,28,301,120
2,19,323,158
4,28,87,13
4,19,79,158
5,10,101,170
1,1,,183
1,11,162,5
1,14,14,6
4,29,241,153
5,20,263,139
1,9,343,148
1,31,365,7
1,30,120,13
5,17,199,87
2,8,128,10
5,26,207,44
1,8,189,38
4,12,285,12
5,3,307,4
5,4,,147
1,2,245,140
6,27,179,174
6,21,294,3
7,12,316,7
6,3,34,7
2,5,64,17
2,27,86,3
3,17,198,42
1,11,345,11
5,9,68,6
3,15,227,12
3,19,50,165
5,24,24,178
1,27,147,10
4,16,,406
4,31,243,6
1,18,139,137
5,28,209,8
6,17,321,6
5,1,305,119
3,1,213,9
7,10,314,140
3,29,,400
6,16,167,2
1,13,133,9
5,29,363,8
3,19,200,8
3,21,52,1
5,14,195,7
1,6,218,12
4,13,347,12
6,21,111,5
7,14,,324
3,11,,449
3,5,186,5
7,14,287,6
4,7,158,8
6,2,153,12
6,22,356,12
2,24,,451
4,4,4,5
2,18,261,9
4,26,116,4
6,27,,235
1,30,303,7
4,12,102,12
1,12,43,3
4,27,270,3
3,7,38,6
7,18,77,8
2,9,282,3
3,15,15,166
2,25,,130
6,28,,461
6,23,144,159
7,17,260,4
5,10,222,4
1,22,174,197
1,10,191,3
4,4,156,148
5,29,180,8
4,23,114,181
4,22,326,4
6,16,350,7
